
# Waypoint History - Started at 2026-02-01 19:52:37 - Random Seed 1235
(-0.094903, -0.774661, None),  cut
(-0.095972, -0.774163, None),  cut
(-0.097041, -0.773665, None),  cut
(-0.09811, -0.773167, None),  cut
(-0.09918, -0.772669, None),  cut
(-0.100249, -0.772171, None),  cut
(-0.101318, -0.771673, None),  cut
(-0.102388, -0.771175, None),  cut
(-0.103457, -0.770677, None),  cut
(-0.104526, -0.770179, None),  cut
(-0.105596, -0.769681, None),  cut
(-0.106665, -0.769183, None),  cut
(-0.107734, -0.768685, None),  cut
(-0.108803, -0.768187, None),  cut
(-0.109873, -0.767689, None),  cut
(-0.110942, -0.767191, None),  cut
(-0.112011, -0.766693, None),  cut
(-0.113081, -0.766195, None),  cut
(-0.11415, -0.765697, None),  cut
(-0.115219, -0.765199, None),  cut
(-0.116288, -0.764701, None),  cut
(-0.117358, -0.764203, None),  cut
(-0.118427, -0.763705, None),  cut
(-0.119496, -0.763207, None),  cut
(-0.120566, -0.762709, None),  cut
(-0.121635, -0.762211, None),  cut
(-0.122704, -0.761713, None),  cut
(-0.123774, -0.761215, None),  cut
(-0.124843, -0.760717, None),  cut
(-0.125912, -0.760219, None),  cut
(-0.126981, -0.759721, None),  cut
(-0.128051, -0.759223, None),  cut
(-0.12912, -0.758725, None),  cut
(-0.130189, -0.758227, None),  cut
(-0.131259, -0.757729, None),  cut
(-0.132328, -0.757231, None),  cut
(-0.133397, -0.756733, None),  cut
(-0.134467, -0.756235, None),  cut
(-0.135536, -0.755737, None),  cut
(-0.136605, -0.755239, None),  cut
(-0.137674, -0.754741, None),  cut
(-0.138744, -0.754243, None),  cut
(-0.139813, -0.753745, None),  cut
(-0.140882, -0.753247, None),  cut
(-0.141952, -0.752749, None),  cut
(-0.143021, -0.752251, None),  cut
(-0.14409, -0.751753, None),  cut
(-0.145159, -0.751256, None),  cut
(-0.879919, 0.306472, None),  cut
(-0.878714, 0.308836, None),  cut
(-0.877508, 0.3112, None),  cut
(-0.876303, 0.313564, None),  cut
(-0.875098, 0.315929, None),  cut
(-0.873892, 0.318293, None),  cut
(-0.872687, 0.320657, None),  cut
(-0.871482, 0.323021, None),  cut
(-0.870277, 0.325386, None),  cut
(-0.869071, 0.32775, None),  cut
(-0.867866, 0.330114, None),  cut
(-0.866661, 0.332478, None),  cut
(-0.865455, 0.334843, None),  cut
(-0.86425, 0.337207, None),  cut
(-0.863045, 0.339571, None),  cut
(-0.86184, 0.341936, None),  cut
(-0.860634, 0.3443, None),  cut
(-0.859429, 0.346664, None),  cut
(-0.858224, 0.349028, None),  cut
(-0.857018, 0.351393, None),  cut
(-0.855813, 0.353757, None),  cut
(-0.854608, 0.356121, None),  cut
(-0.853403, 0.358485, None),  cut
(-0.852197, 0.36085, None),  cut
(-0.850992, 0.363214, None),  cut
(-0.849787, 0.365578, None),  cut
(-0.848581, 0.367942, None),  cut
(-0.847376, 0.370307, None),  cut
(-0.846171, 0.372671, None),  cut
(-0.844966, 0.375035, None),  cut
(-0.84376, 0.377399, None),  cut
(-0.842555, 0.379764, None),  cut
(-0.84135, 0.382128, None),  cut
