
# Waypoint History - Started at 2026-02-07 22:18:55 - Random Seed 1235

# Waypoint History - Started at 2026-02-07 22:20:09 - Random Seed 1235

# Waypoint History - Started at 2026-02-07 22:21:28 - Random Seed 1235

# Waypoint History - Started at 2026-02-07 22:22:24 - Random Seed 1235
(0.456213, -0.51622, None),  cut
(0.456213, -0.512906, None),  cut
(0.456213, -0.509592, None),  cut
(0.456213, -0.506278, None),  cut
(0.456213, -0.502964, None),  cut
(0.456213, -0.49965, None),  cut
(0.456213, -0.496336, None),  cut
(0.456213, -0.493022, None),  cut
(0.456213, -0.489708, None),  cut
(0.456213, -0.486395, None),  cut
(0.456213, -0.483081, None),  cut
(0.456213, -0.479767, None),  cut
(0.456213, -0.476453, None),  cut
(0.456213, -0.473139, None),  cut
(0.456213, -0.469825, None),  cut
(0.456213, -0.466511, None),  cut
(0.456213, -0.463197, None),  cut
(0.456213, -0.459883, None),  cut
(0.456213, -0.456569, None),  cut
(0.456213, -0.453255, None),  cut
(0.456213, -0.449941, None),  cut
(0.456213, -0.446627, None),  cut
(0.456213, -0.443313, None),  cut
(0.456213, -0.439999, None),  cut
(0.456213, -0.436685, None),  cut
(0.456213, -0.433371, None),  cut
(0.456213, -0.430057, None),  cut
(0.644284, -0.537961, None),  cut
(0.693307, -0.628425, None),  cut
(0.692919, -0.628693, None),  cut
(0.69253, -0.62896, None),  cut
(0.692142, -0.629228, None),  cut
(0.691754, -0.629496, None),  cut
(0.691365, -0.629764, None),  cut
(0.690977, -0.630032, None),  cut
(0.690588, -0.6303, None),  cut
(0.6902, -0.630568, None),  cut
(0.689811, -0.630836, None),  cut
(0.669609, -0.809621, None),  cut
(0.852542, -0.652641, None),  cut
(0.853058, -0.653076, None),  cut
(0.853574, -0.653511, None),  cut
(0.85409, -0.653947, None),  cut
(0.854606, -0.654382, None),  cut
(0.745252, -0.887602, -90.00),  cut
(0.74189, -0.885412, -90.00),  cut
(0.738529, -0.883222, -90.00),  cut
(0.735167, -0.881032, -90.00),  cut
(0.731805, -0.878842, -90.00),  cut
(0.728444, -0.876652, -90.00),  cut
(0.725082, -0.874462, -90.00),  cut
(0.72172, -0.872273, -90.00),  cut
(0.859249, -0.6583, None),  cut
(0.859765, -0.658735, None),  cut
(0.860281, -0.65917, 0.00),  cut
(0.860797, -0.659606, 0.00),  cut
(0.861312, -0.660041, 0.00),  cut
(0.861828, -0.660476, 0.00),  cut
(0.862344, -0.660911, 0.00),  cut
(0.86286, -0.661347, 0.00),  cut
(0.863376, -0.661782, 0.00),  cut
